time (UTC),sea_floor_depth_below_sea_surface (m)
2018-06-08T02:00:00Z,2172.219
2018-06-08T02:30:00Z,4593.512
2018-06-08T03:00:00Z,4595.213
2018-06-08T03:30:00Z,4595.137
2018-06-08T04:00:00Z,4595.113
2018-06-08T04:30:00Z,4595.115
2018-06-08T05:00:00Z,4595.129
2018-06-08T05:30:00Z,4595.143
2018-06-08T06:00:00Z,4595.157
2018-06-08T06:30:00Z,4595.166
2018-06-08T07:00:00Z,4595.171
2018-06-08T07:30:00Z,4595.165
2018-06-08T08:00:00Z,4595.153
2018-06-08T08:30:00Z,4595.128
2018-06-08T09:00:00Z,4595.095
2018-06-08T09:30:00Z,4595.056
2018-06-08T10:00:00Z,4595.011
2018-06-08T10:30:00Z,4594.966
2018-06-08T11:00:00Z,4594.924
2018-06-08T11:30:00Z,4594.893
2018-06-08T12:00:00Z,4594.869
2018-06-08T12:30:00Z,4594.861
2018-06-08T13:00:00Z,4594.866
2018-06-08T13:30:00Z,4594.886
2018-06-08T14:00:00Z,4594.922
2018-06-08T14:30:00Z,4594.967
2018-06-08T15:00:00Z,4595.019
2018-06-08T15:30:00Z,4595.078
2018-06-08T16:00:00Z,4595.142
2018-06-08T16:30:00Z,4595.206
2018-06-08T17:00:00Z,4595.269
2018-06-08T17:30:00Z,4595.324
2018-06-08T18:00:00Z,4595.362
2018-06-08T18:30:00Z,4595.383
2018-06-08T19:00:00Z,4595.383
2018-06-08T19:30:00Z,4595.367
2018-06-08T20:00:00Z,4595.327
2018-06-08T20:30:00Z,4595.27
2018-06-08T21:00:00Z,4595.198
2018-06-08T21:30:00Z,4595.118
2018-06-08T22:00:00Z,4595.024
2018-06-08T22:30:00Z,4594.927
2018-06-08T23:00:00Z,4594.83
2018-06-08T23:30:00Z,4594.737
2018-06-09T00:00:00Z,4594.654
2018-06-09T00:30:00Z,4594.588
2018-06-09T01:00:00Z,4594.544
2018-06-09T01:30:00Z,4594.52
2018-06-09T02:00:00Z,4594.52
2018-06-09T02:30:00Z,4594.543
2018-06-09T03:00:00Z,4594.583
2018-06-09T03:30:00Z,4594.644
2018-06-09T04:00:00Z,4594.714
2018-06-09T04:30:00Z,4594.795
2018-06-09T05:00:00Z,4594.883
2018-06-09T05:30:00Z,4594.969
2018-06-09T06:00:00Z,4595.049
2018-06-09T06:30:00Z,4595.119
2018-06-09T07:00:00Z,4595.173
2018-06-09T07:30:00Z,4595.212
2018-06-09T08:00:00Z,4595.228
2018-06-09T08:30:00Z,4595.228
2018-06-09T09:00:00Z,4595.209
2018-06-09T09:30:00Z,4595.175
2018-06-09T10:00:00Z,4595.13
2018-06-09T10:30:00Z,4595.079
2018-06-09T11:00:00Z,4595.02
2018-06-09T11:30:00Z,4594.963
2018-06-09T12:00:00Z,4594.909
2018-06-09T12:30:00Z,4594.867
2018-06-09T13:00:00Z,4594.843
2018-06-09T13:30:00Z,4594.836
2018-06-09T14:00:00Z,4594.845
2018-06-09T14:30:00Z,4594.875
2018-06-09T15:00:00Z,4594.918
2018-06-09T15:30:00Z,4594.975
2018-06-09T16:00:00Z,4595.04
2018-06-09T16:30:00Z,4595.113
2018-06-09T17:00:00Z,4595.184
2018-06-09T17:30:00Z,4595.252
2018-06-09T18:00:00Z,4595.313
2018-06-09T18:30:00Z,4595.358
2018-06-09T19:00:00Z,4595.385
2018-06-09T19:30:00Z,4595.389
2018-06-09T20:00:00Z,4595.37
2018-06-09T20:30:00Z,4595.33
2018-06-09T21:00:00Z,4595.267
2018-06-09T21:30:00Z,4595.183
2018-06-09T22:00:00Z,4595.085
2018-06-09T22:30:00Z,4594.979
2018-06-09T23:00:00Z,4594.867
2018-06-09T23:30:00Z,4594.754
2018-06-10T00:00:00Z,4594.645
2018-06-10T00:30:00Z,4594.548
2018-06-10T01:00:00Z,4594.471
2018-06-10T01:30:00Z,4594.421
2018-06-10T02:00:00Z,4594.4
2018-06-10T02:30:00Z,4594.41
2018-06-10T03:00:00Z,4594.446
2018-06-10T03:30:00Z,4594.504
2018-06-10T04:00:00Z,4594.585
2018-06-10T04:30:00Z,4594.676
2018-06-10T05:00:00Z,4594.783
2018-06-10T05:30:00Z,4594.897
2018-06-10T06:00:00Z,4595.01
2018-06-10T06:30:00Z,4595.117
2018-06-10T07:00:00Z,4595.214
2018-06-10T07:30:00Z,4595.289
2018-06-10T08:00:00Z,4595.339
2018-06-10T08:30:00Z,4595.363
2018-06-10T09:00:00Z,4595.364
2018-06-10T09:30:00Z,4595.34
2018-06-10T10:00:00Z,4595.299
2018-06-10T10:30:00Z,4595.242
2018-06-10T11:00:00Z,4595.175
2018-06-10T11:30:00Z,4595.1
