Datetime,Lat.,Lon.,Total_SO2,OMTO3_O3,DateforKepler
20130525T054235873Z,31.08,120.66,0.44799999999999995,288.099,2013/05/25 05:42:35.873
20130525T054243362Z,31.51,120.59,0.721,286.676,2013/05/25 05:42:43.362
20130527T050422900Z,30.65,120.78,0.098,313.313,2013/05/27 05:04:22.900
20130527T050430388Z,31.09,120.66,-0.14400000000000002,316.295,2013/05/27 05:04:30.388
20130527T050437876Z,31.52,120.54,-0.08800000000000001,319.584,2013/05/27 05:04:37.876
20130527T050422900Z,30.71,121.28,0.152,314.462,2013/05/27 05:04:22.900
20130527T050430388Z,31.15,121.17,-0.073,319.3,2013/05/27 05:04:30.388
20130527T050437876Z,31.59,121.05,0.048,317.45599999999996,2013/05/27 05:04:37.876
20130527T050422900Z,30.76,121.81,-0.21899999999999997,300.027,2013/05/27 05:04:22.900
20130527T050430388Z,31.2,121.69,0.018000000000000002,316.055,2013/05/27 05:04:30.388
20130527T050437876Z,31.64,121.58,0.022000000000000002,318.58799999999997,2013/05/27 05:04:37.876
20130527T050422900Z,30.81,122.34,-0.332,285.928,2013/05/27 05:04:22.900
20130527T050430388Z,31.25,122.23,-0.187,298.184,2013/05/27 05:04:30.388
20130527T050437876Z,31.69,122.12,-0.03,312.835,2013/05/27 05:04:37.876
20130528T044538871Z,30.78,120.6,-0.10400000000000001,310.459,2013/05/28 04:45:38.871
20130528T044546359Z,31.22,120.46,-0.011000000000000001,309.86,2013/05/28 04:45:46.359
20130528T044531383Z,30.49,121.3,0.504,315.218,2013/05/28 04:45:31.383
20130528T044538871Z,30.93,121.16,0.021,311.9,2013/05/28 04:45:38.871
20130528T044546359Z,31.36,121.03,0.153,312.5,2013/05/28 04:45:46.359
20130528T044553847Z,31.8,120.89,0.379,314.216,2013/05/28 04:45:53.847
20130528T044531383Z,30.62,121.84,0.005,316.283,2013/05/28 04:45:31.383
20130528T044538871Z,31.06,121.71,-0.055999999999999994,316.586,2013/05/28 04:45:38.871
20130528T044546359Z,31.49,121.57,0.036000000000000004,319.42900000000003,2013/05/28 04:45:46.359
20130528T044553847Z,31.93,121.43,0.11199999999999999,320.107,2013/05/28 04:45:53.847
20130528T044538871Z,31.17,122.23,0.276,320.704,2013/05/28 04:45:38.871
20130528T044546359Z,31.61,122.1,0.17600000000000002,322.30400000000003,2013/05/28 04:45:46.359
20130529T042702348Z,30.78,120.65,-0.12300000000000001,299.014,2013/05/29 04:27:02.348
20130529T042709836Z,31.21,120.49,0.188,296.9,2013/05/29 04:27:09.836
20130529T042654860Z,30.71,121.66,0.079,301.182,2013/05/29 04:26:54.860
20130529T042702348Z,31.14,121.5,-0.161,301.077,2013/05/29 04:27:02.348
