date,Direct Normal [W/m^2],Global Horiz [W/m^2],Diffuse Horiz (calc) [W/m^2],Avg Wind Direction @ 30ft [deg from N],Dry Bulb Temp [deg C],Global UVA [W/m^2],Global UVE [W/m^2],Global UVE [Index],Avg Wind Speed @ 30ft [m/s],Peak Wind Speed @ 30ft [m/s]
2020-259-1713,84.0768,44.2303,35.1575,57.11,37.1,1.957,0.005,0.204,1.45,1.764
2020-259-1714,79.7365,39.8053,31.4859,55.11,37.07,1.888,0.005,0.197,1.498,1.862
2020-259-1715,54.1059,35.4834,30.0094,62.54,37.03,1.821,0.005,0.19,1.22,1.568
2020-259-1716,16.0252,31.6765,30.1080,61.27,37.01,1.753,0.005,0.182,1.019,1.372
2020-259-1717,3.05341,30.4076,30.1188,58.53,37.01,1.687,0.004,0.175,1.33,1.568
2020-259-1718,1.22415,29.3261,29.2152,56.92,37,1.619,0.004,0.168,1.153,1.568
2020-259-1719,0.841606,28.2914,28.218,56,36.98,1.554,0.004,0.161,1.192,1.47
2020-259-1720,0.549479,27.2051,27.1589,60.1,36.98,1.489,0.004,0.154,1.138,1.568
2020-259-1721,0.159975,26.0579,26.0449,69.16,36.98,1.426,0.004,0.147,1.052,1.372
2020-259-1722,-0.285173,24.7983,24.7983,61.34,36.94,1.363,0.004,0.14,1.256,1.568
2020-259-1723,-0.417326,23.5809,23.5809,59.76,36.91,1.302,0.003,0.134,0.81,1.176
2020-259-1724,-0.417326,22.6209,22.6209,56.93,36.9,1.239,0.003,0.127,0.508,0.882
2020-259-1725,-0.493835,21.4971,21.4971,65.49,36.9,1.178,0.003,0.121,0.577,1.176
2020-259-1726,-0.820739,20.3359,20.3359,67.71,36.9,1.119,0.003,0.115,0.639,0.882
2020-259-1727,-0.834649,19.1746,19.1746,64.9,36.89,1.062,0.003,0.109,0.709,1.078
2020-259-1728,-0.841603,18.0321,18.0321,65.64,36.9,1.003,0.003,0.103,0.887,1.176
2020-259-1729,-1.20328,17.0066,17.0066,65.73,36.9,0.946,0.002,0.097,0.773,0.98
2020-259-1730,-1.25197,15.8782,15.8782,68.23,36.9,0.893,0.002,0.092,0.644,0.882
2020-259-1731,-1.25198,14.8808,14.8808,61.52,36.89,0.836,0.002,0.086,0.366,0.588
2020-259-1732,-1.25894,13.8180,13.8180,55.29,36.8,0.787,0.002,0.08,0.537,0.686
2020-259-1733,-1.62758,12.5537,12.5537,51.74,36.71,0.733,0.002,0.075,0.526,0.784
2020-259-1734,-1.66931,11.2286,11.2286,51.88,36.62,0.687,0.002,0.071,0.637,0.882
2020-259-1735,-1.66932,9.91285,9.91285,53.06,36.56,0.634,0.002,0.066,1.032,1.47
2020-259-1736,-2.00319,8.69543,8.69543,53.71,36.53,0.59,0.001,0.06,1.003,1.274
2020-259-1737,-2.08666,7.52012,7.52012,53.49,36.51,0.544,0.001,0.056,0.738,1.078
2020-259-1738,-2.08666,6.45719,6.45719,52.25,36.47,0.497,0.001,0.053,0.851,0.98
2020-259-1739,-2.08665,5.32870,5.32870,56.21,36.46,0.455,0.001,0.046,0.742,1.078
2020-259-1740,-2.08665,4.38283,4.38283,57.11,36.44,0.416,0.001,0.044,0.431,0.686
2020-259-1741,-2.08665,3.55871,3.55871,59.78,36.41,0.377,0.001,0.04,0.477,0.686
2020-259-1742,-2.08666,2.49579,2.49579,62.64,36.35,0.339,0.001,0.04,0.711,0.882
2020-259-1743,-2.10753,1.45159,1.45159,61.65,36.34,0.303,0.001,0.04,0.332,0.588
2020-259-1744,-2.31621,0.566588,0.566588,58.85,36.34,0.27,0.001,0.037,0.694,0.882
2020-259-1745,-2.36490,-0.243494,0.037461,60.56,36.29,0.238,0.001,0.033,0.248,0.49
2020-259-1746,-2.46924,-1.06763,0,56.34,36.25,0.207,0.001,0.031,0.64,1.176
2020-259-1747,0.083467,-1.73724,0,58.75,36.23,0.204,0.001,0.027,0.668,0.882
2020-259-1748,0.918139,-2.32256,0,59.9,36.21,0.194,0.001,0.027,0.595,0.882
2020-259-1749,2.74746,-2.77208,0,58.91,36.19,0.17,0.001,0.021,0.65,0.882
2020-259-1750,4.06208,-3.09050,0,59.41,36.19,0.143,0,0.02,0.714,0.882
2020-259-1751,-1.25897,-3.18884,0,54.81,36.17,0.131,0,0.02,0.438,0.686
2020-259-1752,-2.08669,-3.65242,0,53.83,36.17,0.102,0,0.018,0.314,0.49
2020-259-1753,-1.84324,-3.71329,0,55.36,36.16,0.1,0,0.013,0.154,0.49
2020-259-1754,-1.94061,-4.21432,0,55.22,36.11,0.071,0,0.013,0.258,0.588
2020-259-1755,-1.76672,-4.21431,0,58.38,36.1,0.068,0,0.013,0.33,0.588
2020-259-1756,-1.71803,-4.29390,0,58.87,36.09,0.061,0,0.013,0.274,0.49
2020-259-1757,-2.18404,-4.49524,0,59.45,36.06,0.035,0,0.013,0.114,0.294
2020-259-1758,-2.50399,-4.49522,0,58.93,36.01,0.034,0,0.008,0.098,0.098
2020-259-1759,-2.50399,-4.50458,0,57.8,35.95,0.034,0,0.007,0.113,0.294
2020-259-1800,-2.50398,-5.01028,0,53.28,35.95,0.031,0,0.007,0.247,0.588
2020-259-1801,-2.50397,-5.05709,0,57.79,35.95,0.014,0,0.007,0.31,0.784
2020-259-1802,-2.50397,-5.05708,0,56.95,35.95,0,0,0.007,0.158,0.392
2020-259-1803,-2.50396,-5.05707,0,55.03,35.94,0,0,0.007,0.304,0.588
2020-259-1804,-2.50395,-5.05705,0,53.5,35.94,0,0,0.007,0.162,0.49
2020-259-1805,-2.50395,-5.05705,0,50.12,35.95,0,0,0.007,0.505,0.588
2020-259-1806,-2.50395,-5.05704,0,53.52,35.95,0,0,0.007,0.413,0.588
2020-259-1807,-2.51785,-5.20687,0,53.53,35.94,0,0,0.007,0.492,0.588
2020-259-1808,-2.60131,-5.32860,0,52.97,35.95,0,0,0.007,0.547,0.784
2020-259-1809,-2.81693,-5.06638,0,54.44,35.95,0,0,0.007,0.462,0.588
2020-259-1810,-2.87257,-5.05701,0,52.46,35.92,0,0,0.007,0.367,0.49
2020-259-1811,-2.55262,-5.05700,0,52,35.88,0,0,0.007,0.371,0.49
2020-259-1812,-2.50393,-5.057,0,51.83,35.85,0,0,0.007,0.332,0.49
2020-259-1813,-2.50393,-5.05700,0,51.32,35.85,0,0,0.007,0.379,0.49
2020-259-1814,-2.50392,-5.05699,0,51.27,35.83,0,0,0.007,0.379,0.588
2020-259-1815,-2.50392,-5.05699,0,51.28,35.78,0,0,0.007,0.541,0.686
2020-259-1816,-2.50392,-5.05698,0,51.25,35.72,0,0,0.007,0.547,0.686
2020-259-1817,-2.50392,-5.05698,0,50.16,35.6,0,0,0.007,0.528,0.686
2020-259-1818,-2.50392,-5.05698,0,49.25,35.5,0,0,0.007,0.506,0.588
2020-259-1819,-2.50392,-5.05698,0,48.25,35.38,0,0,0.007,0.363,0.49
2020-259-1820,-2.50392,-5.05698,0,46.37,35.28,0,0,0.007,0.147,0.294
2020-259-1821,-2.50392,-5.05697,0,39.54,35.19,0,0,0.007,0.252,0.49
2020-259-1822,-2.50391,-5.05697,0,39.5,35.15,0,0,0.007,0.266,0.49
2020-259-1823,-2.50391,-4.69175,0,39.47,35.09,0,0,0.007,0.361,0.49
2020-259-1824,-2.50391,-4.49508,0,39.42,35.07,0,0,0.007,0.201,0.49
2020-259-1825,-2.50391,-4.49508,0,39.41,35.06,0,0,0.007,0.168,0.294
2020-259-1826,-2.50391,-4.49508,0,39.03,35.05,0,0,0.007,0.154,0.392
2020-259-1827,-2.50391,-4.49508,0,35.16,35.04,0,0,0.007,0.261,0.49
2020-259-1828,-2.50391,-4.49508,0,31.21,35.01,0,0,0.007,0.472,0.686
2020-259-1829,-2.50391,-4.49508,0,28.15,35,0,0,0.007,0.459,0.588
2020-259-1830,-2.50391,-4.50445,0,27.43,35.01,0,0,0.007,0.281,0.49
2020-259-1831,-2.15615,-4.72920,0,27.38,35.02,0,0,0.007,0.22,0.49
2020-259-1832,-2.08661,-5.02422,0,27.36,35.06,0,0,0.007,0.098,0.098
2020-259-1833,-2.08661,-4.82757,0,25.88,35.1,0,0,0.007,0.268,0.49
2020-259-1834,-2.08662,-4.49513,0,23.29,35.13,0,0,0.007,0.457,0.588
2020-259-1835,-2.06575,-4.49514,0,22.02,35.17,0,0,0.007,0.346,0.588
2020-259-1836,-1.87100,-4.49514,0,21.8,35.18,0,0,0.007,0.568,0.686
2020-259-1837,-2.07271,-4.49514,0,23.34,35.18,0,0,0.007,0.456,0.686
2020-259-1838,-2.07966,-4.46236,0,21.59,35.18,0,0,0.007,0.483,0.588
2020-259-1839,-2.00316,-4.22824,0,19.09,35.19,0,0,0.007,0.488,0.686
2020-259-1840,-2.02402,-4.21419,0,18.03,35.19,0,0,0.007,0.354,0.588
2020-259-1841,-1.89187,-4.27974,0,19.16,35.17,0,0,0.007,0.43,0.588
2020-259-1842,-1.72493,-4.22355,0,20.12,35.13,0,0,0.007,0.495,0.784
2020-259-1843,-1.71798,-4.24696,0,19.91,35.03,0,0,0.007,0.662,0.882
2020-259-1844,-1.98228,-4.21418,0,20.06,34.99,0,0,0.007,0.501,0.784
2020-259-1845,-2.0727,-4.21417,0,23.11,34.91,0,0,0.007,0.665,0.882
2020-259-1846,-2.07271,-4.21420,0,23.33,34.88,0,0,0.007,0.578,0.784
2020-259-1847,-2.08663,-4.21422,0,24.04,34.88,0,0,0.007,0.707,0.882
2020-259-1848,-2.08664,-4.23766,0,24.97,34.9,0,0,0.007,0.825,0.98
2020-259-1849,-2.08665,-4.45775,0,25.35,34.93,0,0,0.007,0.92,1.078
2020-259-1850,-1.84321,-4.44371,0,25.33,34.93,0,0,0.007,0.973,1.176
2020-259-1851,-1.92668,-4.24237,0,25.77,34.89,0,0,0.007,1.016,1.176
2020-259-1852,-2.07275,-4.34070,0,26.76,34.87,0,0,0.007,1.065,1.274
2020-259-1853,-2.09361,-4.48585,0,28.51,34.82,0,0,0.007,1.027,1.176
2020-259-1854,-2.08665,-4.37347,0,29.56,34.66,0,0,0.007,1.094,1.274
2020-259-1855,-2.37878,-4.49052,0,30.17,34.41,0,0,0.007,1.127,1.274
2020-259-1856,-2.35791,-4.49520,0,29.75,34.32,0,0,0.007,1.075,1.176
2020-259-1857,-2.05882,-4.49519,0,29.54,34.21,0,0,0.007,1,1.176
2020-259-1858,-2.03796,-4.49519,0,30.04,34.06,0,0,0.007,0.991,1.078
2020-259-1859,-2.08665,-4.49520,0,30.98,34,0,0,0.007,0.893,1.078
2020-259-1900,-2.09361,-4.49521,0,31.4,33.94,0,0,0.007,0.892,1.078
2020-259-1901,-2.08665,-4.49521,0,29.68,33.93,0,0,0.007,0.885,1.078
2020-259-1902,-1.96145,-4.49521,0,29.06,33.93,0,0,0.007,0.92,1.078
2020-259-1903,-1.66932,-4.49520,0,28.65,34.03,0,0,0.007,0.908,1.176
2020-259-1904,-1.66932,-4.43433,0,27.33,34.27,0,0,0.007,1.034,1.176
2020-259-1905,-1.66932,-4.21424,0,26.39,34.44,0,0,0.007,0.952,1.078
2020-259-1906,-1.66931,-4.24701,0,24.3,34.62,0,0,0.007,0.954,1.176
2020-259-1907,-1.66932,-4.47647,0,24.12,34.75,0,0,0.007,0.952,1.176
2020-259-1908,-1.66933,-4.48586,0,22.96,34.68,0,0,0.007,0.777,0.98
2020-259-1909,-1.66934,-4.48588,0,21.28,34.39,0,0,0.007,0.668,0.882
2020-259-1910,-1.66934,-4.49526,0,21.63,34.34,0,0,0.007,0.63,0.784
2020-259-1911,-1.66935,-4.49528,0,24.21,34.27,0,0,0.007,0.84,1.078
2020-259-1912,-1.66935,-4.49530,0,25.8,34.18,0,0,0.007,0.805,0.882
2020-259-1913,-1.66936,-4.49531,0,27.12,34.09,0,0,0.007,0.791,0.98
2020-259-1914,-1.66938,-4.49536,0,28.6,34.08,0,0,0.007,0.954,1.078
2020-259-1915,-1.66939,-4.49540,0,25.67,34.07,0,0,0.007,0.998,1.176
2020-259-1916,-1.66940,-4.49543,0,24.65,33.92,0,0,0.007,0.987,1.274
2020-259-1917,-1.78072,-4.49548,0,24.5,33.94,0,0,0.007,1.155,1.274
2020-259-1918,-1.77377,-4.49549,0,24.04,34.2,0,0,0.007,1.179,1.274
2020-259-1919,-1.66943,-4.40184,0,22.74,34.28,0,0,0.007,1.183,1.372
2020-259-1920,-1.68334,-4.37842,0,22,34.2,0,0,0.007,1.057,1.274
2020-259-1921,-1.73898,-4.49547,0,21.84,34.14,0,0,0.007,0.978,1.176
2020-259-1922,-1.68333,-4.49545,0,21.68,34.1,0,0,0.007,1.008,1.372
2020-259-1923,-1.72506,-4.49544,0,22.84,34.09,0,0,0.007,1.143,1.47
2020-259-1924,-1.70419,-4.49544,0,21.79,34.05,0,0,0.007,1.099,1.372
2020-259-1925,-1.66940,-4.49543,0,22.19,34.15,0,0,0.007,1.062,1.274
2020-259-1926,-1.66940,-4.49074,0,22.37,34.22,0,0,0.007,0.791,0.98
2020-259-1927,-1.66940,-4.24256,0,22.71,34.23,0,0,0.007,0.926,1.176
2020-259-1928,-1.66942,-4.21451,0,22.99,34.23,0,0,0.007,0.9,1.176
2020-259-1929,-1.66943,-4.21453,0,23.76,34.15,0,0,0.007,1.102,1.274
2020-259-1930,-1.66944,-4.21456,0,24.32,34.06,0,0,0.007,1.166,1.274
2020-259-1931,-1.66946,-4.21460,0,23.88,34.08,0,0,0.007,1.23,1.47
2020-259-1932,-1.66947,-4.21462,0,23.7,34.06,0,0,0.007,1.38,1.568
2020-259-1933,-1.66947,-4.21463,0,23.73,34.1,0,0,0.007,1.455,1.568
2020-259-1934,-1.66947,-4.21463,0,24.54,34.02,0,0,0.007,1.444,1.568
2020-259-1935,-1.66946,-4.21462,0,25.31,33.9,0,0,0.007,1.339,1.47
2020-259-1936,-1.66946,-4.21462,0,27.67,33.75,0,0,0.007,1.107,1.274
2020-259-1937,-1.66946,-4.21462,0,27.89,33.52,0,0,0.007,1.006,1.176
2020-259-1938,-1.66947,-4.21462,0,26.99,33.4,0,0,0.007,1.102,1.176
2020-259-1939,-1.66946,-4.21461,0,26.49,33.39,0,0,0.007,1.186,1.372
2020-259-1940,-1.66946,-4.21460,0,24.91,33.48,0,0,0.007,1.374,1.568
2020-259-1941,-1.66945,-4.21458,0,23.31,33.55,0,0,0.007,1.612,1.764
2020-259-1942,-1.66944,-4.21455,0,22.76,33.55,0,0,0.007,1.741,2.156
2020-259-1943,-1.63465,-4.21454,0,22.59,33.58,0,0,0.007,2.11,2.842
2020-259-1944,-1.57901,-4.21454,0,23.57,33.63,0,0,0.007,1.789,2.254
2020-259-1945,-1.66944,-4.21457,0,22.02,33.61,0,0,0.007,1.313,1.764
2020-259-1946,-1.57902,-4.21457,0,16.61,33.71,0,0,0.007,1.909,3.038
2020-259-1947,-0.869504,-4.21458,0,17.42,33.93,0,0,0.007,2.02,2.744
2020-259-1948,-0.890374,-4.21459,0,18.88,34.12,0,0,0.007,2.007,3.038
2020-259-1949,-0.834729,-3.97109,0,19.16,34.07,0,0,0.007,1.153,1.862
2020-259-1950,-0.834729,-3.65265,0,24.02,33.97,0,0,0.007,1.117,1.47
2020-259-1951,-0.911246,-3.65266,0,21.79,33.81,0,0,0.007,1.444,2.156
2020-259-1952,-0.925164,-3.65268,0,20.53,33.87,0,0,0.007,1.432,1.862
2020-259-1953,-1.03647,-3.6527,0,21.08,33.83,0,0,0.007,1.31,1.862
2020-259-1954,-1.35645,-3.65271,0,22.15,33.86,0,0,0.007,1.392,1.862
2020-259-1955,-1.27298,-3.67144,0,20.42,33.87,0,0,0.007,1.509,1.862
2020-259-1956,-1.47470,-3.65269,0,19.81,33.85,0,0,0.007,1.037,1.274
2020-259-1957,-1.26601,-3.92428,0,22.05,33.83,0,0,0.007,1.134,1.764
2020-259-1958,-0.904290,-4.20992,0,18.78,33.85,0,0,0.007,0.892,1.47
2020-259-1959,-1.16166,-4.02259,0,16.64,33.85,0,0,0.007,1.027,1.568
2020-259-2000,-1.27297,-3.91023,0,17.64,33.86,0,0,0.007,0.962,1.666
2020-259-2001,-1.05037,-4.00858,0,17.61,33.95,0,0,0.007,2.011,2.352
2020-259-2002,-0.285202,-4.21465,0,17.26,34.06,0,0,0.007,1.736,1.96
2020-259-2003,0,-4.21468,0,16.54,34.12,0,0,0.007,1.602,1.96
2020-259-2004,0,-3.66677,0,16.75,34.11,0,0,0.007,1.316,1.666
2020-259-2005,0,-3.59652,0,17.65,34.12,0,0,0.007,1.728,2.254
2020-259-2006,0,-3.37642,0,18.49,34.13,0,0,0.007,1.493,2.45
2020-259-2007,0.034781,-3.09077,0,16.12,34.14,0,0,0.007,1.7,2.548
2020-259-2008,0.417373,-3.09077,0,16.82,34.15,0,0,0.007,1.493,1.862
2020-259-2009,0.584324,-3.44200,0,16.99,34.12,0,0,0.007,1.697,2.058
2020-259-2010,0.834750,-3.64807,0,19.21,34.06,0,0,0.007,1.426,2.058
2020-259-2011,0.834752,-3.33899,0,20.33,34.06,0,0,0.007,1.387,1.862
2020-259-2012,0.667803,-3.0908,0,23.53,34.05,0,0,0.007,1.338,1.568
2020-259-2013,0.159995,-3.20789,0,25.43,33.94,0,0,0.007,1.326,1.764
2020-259-2014,0,-3.65276,0,23.94,33.82,0,0,0.007,1.398,1.764
2020-259-2015,-0.333901,-3.65276,0,24.32,33.71,0,0,0.007,1.459,1.568
2020-259-2016,-0.806927,-3.65276,0,23.79,33.61,0,0,0.007,1.472,1.666
2020-259-2017,-0.834752,-3.65276,0,22.19,33.55,0,0,0.007,1.437,1.764
2020-259-2018,-0.834753,-3.83540,0,20.17,33.59,0,0,0.007,1.516,2.156
2020-259-2019,-0.834754,-4.21473,0,21.84,33.64,0,0,0.007,1.439,2.45
2020-259-2020,-0.834755,-4.21474,0,18.52,33.66,0,0,0.007,1.348,1.862
2020-259-2021,-0.834757,-4.21474,0,20.66,33.67,0,0,0.007,1.321,1.764
2020-259-2022,-0.862583,-4.21475,0,21.22,33.75,0,0,0.007,1.222,1.666
2020-259-2023,-1.39127,-4.21476,0,22.6,33.66,0,0,0.007,1.281,1.568
2020-259-2024,-1.66952,-4.21476,0,22.44,33.66,0,0,0.007,1.313,1.47
2020-259-2025,-1.66952,-4.21477,0,22.31,33.64,0,0,0.007,1.223,1.666
2020-259-2026,-1.66953,-4.21478,0,20.24,33.58,0,0,0.007,1.529,2.352
2020-259-2027,-1.66954,-4.21481,0,23.35,33.59,0,0,0.007,1.058,1.47
2020-259-2028,-1.66955,-4.21483,0,24.44,33.51,0,0,0.007,1.076,1.274
2020-259-2029,-1.66955,-4.21484,0,23.21,33.45,0,0,0.007,0.781,0.98
2020-259-2030,-1.66956,-4.21485,0,23.94,33.43,0,0,0.007,1.057,1.372
2020-259-2031,-1.68349,-4.21489,0,23.37,33.36,0,0,0.007,1.215,1.372
2020-259-2032,-1.69045,-4.21490,0,22.88,33.36,0,0,0.007,1.41,1.862
2020-259-2033,-1.66958,-4.21492,0,20.15,33.41,0,0,0.007,1.326,1.862
2020-259-2034,-1.66959,-4.21493,0,25.63,33.44,0,0,0.007,1.165,1.47
2020-259-2035,-1.66959,-4.21493,0,24.77,33.3,0,0,0.007,1.316,1.764
2020-259-2036,-1.67655,-4.21493,0,25.92,33.17,0,0,0.007,1.344,1.568
2020-259-2037,-2.08003,-4.21493,0,26.25,33.06,0,0,0.007,1.23,1.47
2020-259-2038,-2.08698,-4.21493,0,27.51,32.99,0,0,0.007,1.161,1.47
2020-259-2039,-2.08698,-4.21492,0,26.58,32.96,0,0,0.007,1.354,1.666
2020-259-2040,-2.09394,-4.21492,0,27.74,32.98,0,0,0.007,1.348,1.568
2020-259-2041,-2.08698,-4.21492,0,25.21,32.97,0,0,0.007,1.269,1.568
2020-259-2042,-1.89220,-4.21493,0,28.3,32.98,0,0,0.007,1.241,1.47
2020-259-2043,-1.66960,-4.21963,0,30.35,32.98,0,0,0.007,0.973,1.274
2020-259-2044,-1.78787,-4.21497,0,26.08,32.89,0,0,0.007,0.939,1.078
2020-259-2045,-2.09399,-4.30869,0,27.92,32.88,0,0,0.007,1.124,1.274
2020-259-2046,-2.19834,-4.22908,0,26.75,32.88,0,0,0.007,1.044,1.176
2020-259-2047,-2.25400,-4.21505,0,26.95,32.88,0,0,0.007,1.021,1.274
2020-259-2048,-2.03835,-4.32745,0,27.86,32.87,0,0,0.007,1.15,1.568
2020-259-2049,-1.98965,-4.27593,0,26.68,32.82,0,0,0.007,1.32,1.568
2020-259-2050,-1.86442,-4.47731,0,25.98,32.81,0,0,0.007,1.473,1.862
2020-259-2051,-1.66963,-4.36959,0,27.86,32.78,0,0,0.007,1.161,1.47
2020-259-2052,-1.66962,-4.21502,0,28.41,32.7,0,0,0.007,0.995,1.274
2020-259-2053,-1.67658,-4.32741,0,28.56,32.61,0,0,0.007,0.895,0.98
2020-259-2054,-1.83658,-4.49600,0,29.03,32.59,0,0,0.007,0.885,1.176
2020-259-2055,-1.96875,-4.49599,0,29.09,32.52,0,0,0.007,0.755,0.98
2020-259-2056,-2.14266,-4.49597,0,29.26,32.51,0,0,0.007,0.738,0.882
2020-259-2057,-2.10787,-4.49596,0,29.24,32.48,0,0,0.007,0.684,0.784
2020-259-2058,-2.02439,-4.49595,0,30.79,32.42,0,0,0.007,0.867,1.176
2020-259-2059,-1.82264,-4.49594,0,31.13,32.42,0,0,0.007,0.823,0.98
2020-259-2100,-1.66959,-4.49593,0,29.13,32.38,0,0,0.007,0.892,1.176
2020-259-2101,-1.66959,-4.49592,0,30.09,32.42,0,0,0.007,0.898,1.176
2020-259-2102,-1.74610,-4.49591,0,28.38,32.41,0,0,0.007,0.889,1.078
2020-259-2103,-1.98263,-4.49592,0,30.57,32.42,0,0,0.007,1.187,1.568
2020-259-2104,-1.66959,-4.50531,0,29.13,32.51,0,0,0.007,1.318,1.568
2020-259-2105,-1.66960,-4.49597,0,29.43,32.63,0,0,0.007,1.437,1.764
2020-259-2106,-1.66962,-4.49601,0,29.47,32.78,0,0,0.007,1.446,1.862
2020-259-2107,-1.66963,-4.49605,0,30.98,32.82,0,0,0.007,1.276,1.568
2020-259-2108,-1.66964,-4.49608,0,27.64,32.74,0,0,0.007,1.189,1.568
2020-259-2109,-1.66965,-4.49142,0,28.01,32.68,0,0,0.007,1.052,1.274
2020-259-2110,-1.66966,-4.23385,0,26.92,32.65,0,0,0.007,1.171,1.47
2020-259-2111,-1.68358,-4.21514,0,24.85,32.56,0,0,0.007,1.032,1.568
2020-259-2112,-1.68360,-4.32289,0,23.44,32.55,0,0,0.007,1.174,1.372
2020-259-2113,-1.66968,-4.30885,0,25.08,32.57,0,0,0.007,1.016,1.274
2020-259-2114,-1.66968,-4.30884,0,19.23,32.56,0,0,0.007,1.011,1.274
2020-259-2115,-1.66968,-4.21517,0,11.49,32.64,0,0,0.007,0.693,1.078
2020-259-2116,-1.66969,-4.21518,0,47.98,32.64,0,0,0.007,0.568,0.784
2020-259-2117,-1.66969,-4.2152,0,84.9,32.59,0,0,0.007,0.771,0.98
2020-259-2118,-1.66970,-4.21521,0,81.6,32.47,0,0,0.007,0.657,0.882
2020-259-2119,-1.66970,-4.21521,0,79.32,32.28,0,0,0.007,0.915,1.372
2020-259-2120,-1.54447,-4.21519,0,79.72,32.1,0,0,0.007,1.336,1.764
2020-259-2121,-1.66969,-4.21518,0,80.5,31.96,0,0,0.007,1.455,1.666
2020-259-2122,-1.39836,-4.23390,0,80.3,31.86,0,0,0.007,1.194,1.47
2020-259-2123,-0.980938,-4.21517,0,78.52,31.77,0,0,0.007,1.102,1.274
2020-259-2124,-1.25227,-3.86391,0,78.3,31.77,0,0,0.007,0.911,1.176
2020-259-2125,-0.91833,-3.65317,0,80.6,31.77,0,0,0.007,0.924,1.274
2020-259-2126,-0.834849,-3.39090,0,77.74,31.87,0,0,0.007,1.232,1.568
2020-259-2127,-0.834854,-3.34409,0,76.6,31.95,0,0,0.007,1.297,1.568
2020-259-2128,-0.834858,-3.09119,0,78.51,32.01,0,0,0.007,1.021,1.274
2020-259-2129,-0.834861,-3.09120,0,81,31.95,0,0,0.007,0.657,0.784
2020-259-2130,-0.834856,-3.09118,0,80.7,31.91,0,0,0.007,0.893,1.078
2020-259-2131,-0.834852,-3.25977,0,76.18,31.95,0,0,0.007,0.735,0.882
2020-259-2132,-0.834850,-3.65318,0,71.56,31.97,0,0,0.007,0.47,0.686
2020-259-2133,-0.834849,-3.65318,0,65.86,31.94,0,0,0.007,0.333,0.588
2020-259-2134,-0.9879,-3.74683,0,60.38,31.86,0,0,0.007,0.106,0.196
2020-259-2135,-1.02269,-4.21519,0,53.8,31.76,0,0,0.007,0.616,0.882
2020-259-2136,-0.890502,-4.21519,0,58.04,31.72,0,0,0.007,0.621,0.98
2020-259-2137,-1.38446,-3.88267,0,56.97,31.74,0,0,0.007,0.987,1.47
2020-259-2138,-1.68362,-3.65320,0,46.11,31.47,0,0,0.007,0.691,1.078
2020-259-2139,-2.00365,-3.65320,0,35.02,31.1,0,0,0.007,0.461,0.686
2020-259-2140,-2.08018,-4.12624,0,39.6,30.83,0,0,0.007,0.572,0.882
2020-259-2141,-2.03147,-4.25737,0,48.09,30.75,0,0,0.007,0.831,1.176
2020-259-2142,-1.66970,-4.49622,0,51.18,30.81,0,0,0.007,0.699,0.882
2020-259-2143,-1.66969,-4.41190,0,53.47,30.91,0,0,0.007,0.923,1.274
2020-259-2144,-1.66969,-4.21519,0,55.65,31.07,0,0,0.007,0.987,1.176
2020-259-2145,-1.66969,-4.22455,0,53.72,31.18,0,0,0.007,0.763,0.882
2020-259-2146,-1.66969,-4.49151,0,49.11,31.25,0,0,0.007,0.673,0.882
2020-259-2147,-1.66969,-4.49619,0,47.3,31.28,0,0,0.007,0.49,0.784
2020-259-2148,-1.66968,-4.26669,0,46.15,31.23,0,0,0.007,0.136,0.294
2020-259-2149,-1.69751,-4.21518,0,46.15,31.18,0,0,0.007,0.098,0.098
2020-259-2150,-2.03145,-4.21518,0,45.8,31.14,0,0,0.007,0.098,0.098
2020-259-2151,-2.41410,-4.21520,0,45.79,31.06,0,0,0.007,0.098,0.098
2020-259-2152,-2.50454,-4.2152,0,42.7,30.98,0,0,0.007,0.098,0.098
2020-259-2153,-2.44888,-4.21519,0,39.68,30.96,0,0,0.007,0.399,0.686
2020-259-2154,-1.81579,-4.33227,0,41.07,30.96,0,0,0.007,0.619,0.784
2020-259-2155,-1.66969,-4.49620,0,41.22,30.96,0,0,0.007,0.454,0.686
2020-259-2156,-1.66969,-4.49621,0,41.23,30.91,0,0,0.007,0.371,0.49
2020-259-2157,-1.86450,-4.49622,0,41.23,30.83,0,0,0.007,0.524,0.588
2020-259-2158,-1.94103,-4.49625,0,39.96,30.76,0,0,0.007,0.537,0.686
2020-259-2159,-2.47675,-4.49627,0,39.38,30.67,0,0,0.007,0.541,0.686
2020-259-2200,-2.50458,-4.49628,0,39.14,30.69,0,0,0.007,0.562,0.686
2020-259-2201,-2.50458,-4.49628,0,39.15,30.78,0,0,0.007,0.593,0.686
2020-259-2202,-2.50457,-4.49626,0,39.11,30.84,0,0,0.007,0.474,0.588
2020-259-2203,-2.50457,-4.49626,0,38.78,30.85,0,0,0.007,0.381,0.49
2020-259-2204,-2.50457,-4.49626,0,38.72,30.81,0,0,0.007,0.106,0.196
2020-259-2205,-2.50456,-4.49625,0,38.76,30.75,0,0,0.007,0.098,0.098
2020-259-2206,-2.50455,-4.49623,0,39.02,30.62,0,0,0.007,0.098,0.098
2020-259-2207,-2.50455,-4.48217,0,39.14,30.52,0,0,0.007,0.098,0.098
2020-259-2208,-1.91319,-4.21521,0,39.15,30.44,0,0,0.007,0.098,0.098
