date,Direct Normal [W/m^2],Global Horiz [W/m^2],Diffuse Horiz (calc) [W/m^2],Avg Wind Direction @ 30ft [deg from N],Dry Bulb Temp [deg C],Global UVA [W/m^2],Global UVE [W/m^2],Global UVE [Index],Avg Wind Speed @ 30ft [m/s],Peak Wind Speed @ 30ft [m/s]
2020-259-1350,601.026,627.871,207.446,69.65,37.3,24.29,0.102,4.07,2.192,3.234
2020-259-1351,608.565,630.244,205.735,76.9,37.32,24.45,0.102,4.087,2.55,3.724
2020-259-1352,607.193,628.754,206.393,76.34,37.29,24.38,0.102,4.069,1.63,2.94
2020-259-1353,611.261,626.594,202.616,56.52,37.62,24.37,0.102,4.061,1.609,2.94
2020-259-1354,607.484,621.537,201.393,51.84,37.96,24.14,0.1,4.019,1.432,2.156
2020-259-1355,611.746,621.381,199.522,57.36,38.05,24.2,0.101,4.021,2.086,2.646
2020-259-1356,614.848,621.909,199.151,61.58,38,24.26,0.101,4.023,2.115,2.842
2020-259-1357,610.989,617.986,199.121,56.06,38.04,24.09,0.1,3.99,1.096,1.666
2020-259-1358,607.590,613.114,197.820,39.99,38.15,23.93,0.099,3.959,1.215,1.666
2020-259-1359,476.53,614.506,289.683,44.02,38.05,24.05,0.099,3.97,2.014,2.45
2020-259-1400,173.580,614.343,496.417,39.82,37.74,24,0.099,3.956,2.3,2.646
2020-259-1401,165.331,613.824,501.846,36.03,37.46,23.99,0.099,3.946,1.671,2.156
2020-259-1402,164.169,609.652,498.805,37.56,37.64,23.88,0.098,3.922,1.759,2.45
2020-259-1403,169.553,612.358,498.236,51.09,37.75,24.02,0.098,3.935,2.275,2.842
2020-259-1404,204.371,613.458,476.322,55.31,38.07,24.11,0.099,3.941,2.022,3.332
2020-259-1405,178.706,617.531,498.002,46.99,38.32,24.33,0.099,3.965,1.429,1.862
2020-259-1406,182.176,611.925,490.478,53.16,38.22,24,0.098,3.908,1.534,2.45
2020-259-1407,201.985,601.698,467.467,45.48,38.2,23.58,0.096,3.838,0.998,1.568
2020-259-1408,187.253,595.634,471.611,47.27,38.08,23.31,0.095,3.79,1.815,3.626
2020-259-1409,205.323,590.834,455.276,51.8,38.06,23.15,0.094,3.758,2.484,3.724
2020-259-1410,257.349,589.625,420.297,55.13,37.86,23.06,0.093,3.735,2.849,3.332
2020-259-1411,297.662,583.266,388.071,52.58,37.9,22.77,0.092,3.684,3.076,4.41
2020-259-1412,270.000,582.291,405.832,50.12,37.59,22.75,0.092,3.673,3.352,4.998
2020-259-1413,297.036,582.600,389.125,50.41,37.61,22.76,0.092,3.666,2.025,2.744
2020-259-1414,299.039,576.133,382.025,44.56,37.8,22.53,0.091,3.625,2.133,3.234
2020-259-1415,292.507,578.169,388.952,42.58,37.56,22.65,0.091,3.633,2.189,2.548
2020-259-1416,276.864,579.087,400.615,40.29,37.49,22.67,0.091,3.628,1.326,1.764
2020-259-1417,238.033,570.007,417.111,42.54,37.57,22.28,0.089,3.564,1.911,2.45
2020-259-1418,249.071,561.808,402.398,40.7,37.61,21.95,0.088,3.509,1.529,1.96
2020-259-1419,236.495,558.122,407.301,43.23,37.68,21.84,0.087,3.483,1.281,1.96
2020-259-1420,227.008,559.494,415.244,37.87,37.91,21.95,0.087,3.491,1.134,1.47
2020-259-1421,215.539,563.125,426.663,28.05,38,22.15,0.088,3.513,1.078,1.372
2020-259-1422,232.226,567.425,420.953,25.16,37.92,22.4,0.088,3.539,0.621,1.372
2020-259-1423,218.594,565.025,427.656,50.3,38.09,22.29,0.088,3.515,0.225,0.686
2020-259-1424,254.846,558.475,398.938,23.47,38.26,22.05,0.087,3.474,0.294,0.588
2020-259-1425,265.898,555.815,389.974,61.23,38.42,21.99,0.086,3.458,0.668,1.176
2020-259-1426,294.777,554.298,371.156,71.19,38.42,21.98,0.086,3.447,0.719,1.078
2020-259-1427,330.410,557.112,352.615,65.18,38.36,22.12,0.086,3.458,1.08,1.764
2020-259-1428,322.976,552.938,353.815,17.99,38.42,21.91,0.086,3.421,0.774,1.274
2020-259-1429,317.983,547.348,352.078,54,38.54,21.71,0.085,3.384,0.71,1.372
2020-259-1430,351.571,541.122,326.073,17.19,38.52,21.42,0.083,3.335,0.563,1.274
2020-259-1431,503.959,537.170,230.155,43.98,38.7,21.27,0.083,3.305,0.317,0.686
2020-259-1432,573.764,531.645,183.487,71.71,38.64,21.05,0.082,3.266,0.613,1.176
2020-259-1433,580.893,527.407,176.343,62.22,38.57,20.87,0.081,3.232,0.474,0.882
2020-259-1434,572.254,519.301,174.878,70.48,38.6,20.5,0.079,3.174,0.709,1.47
